Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	rate_12	rate_21	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
24	-1585.23	-1582.32	-2.90659	0.184585	0.25714	0.0618768	-1.68964	-1.35814	-2.78261	-1.29888	-1.5271	-1.31989	0.03090583	0.06498497	0.08447038	0.03226875	0.195118	0.268878	0.536005	0.272837	0.217165	0.267164
25	-1583.76	-1581.31	-2.45082	0.180112	0.262932	0.0681225	-1.71417	-1.33586	-2.68645	-1.40071	-1.53765	-1.37608	0.03090583	0.03457182	0.08447038	0.03269389	0.0799754	0.110208	0.809816	0.246421	0.214886	0.252566
26	-1584.15	-1581.26	-2.8846	0.170016	0.293543	0.0648729	-1.77186	-1.22573	-2.73533	-1.39992	-1.44023	-1.33651	0.03090583	0.05956014	0.08447038	0.03418948	0.0799754	0.110208	0.809816	0.246616	0.236872	0.262762
27	-1583.7	-1581.65	-2.04335	0.180636	0.261887	0.0704378	-1.71127	-1.33984	-2.65302	-1.40174	-1.53882	-1.37609	0.01425534	0.03633808	0.08696617	0.0311137	0.0681161	0.093866	0.838018	0.246167	0.214635	0.252563
28	-1583.03	-1580.44	-2.59752	0.210821	0.224509	0.0610194	-1.55675	-1.49384	-2.79656	-1.40174	-1.46887	-1.35613	0.0160903	0.05174933	0.1056082	0.03703979	0.0681161	0.093866	0.838018	0.246167	0.230184	0.257655
29	-1584.47	-1581.78	-2.68216	0.210789	0.204356	0.0573135	-1.5569	-1.58789	-2.85922	-1.53812	-1.52339	-1.41475	0.02322721	0.04797227	0.1035758	0.03703979	0.0681161	0.093866	0.838018	0.214784	0.217971	0.242986
30	-1584.48	-1581.75	-2.72357	0.195798	0.180008	0.0463723	-1.63067	-1.71476	-3.07105	-1.45254	-1.32514	-1.30072	0.02400017	0.03824969	0.1035758	0.02982075	0.0681161	0.093866	0.838018	0.233975	0.265765	0.272335
31	-1583.29	-1580.48	-2.8134	0.17643	0.196002	0.049173	-1.73483	-1.62963	-3.01241	-1.52912	-1.44629	-1.32685	0.02400017	0.0581975	0.1035758	0.02900201	0.0681161	0.093866	0.838018	0.216727	0.235443	0.265312
32	-1583.95	-1581.47	-2.47807	0.188813	0.174665	0.0559807	-1.667	-1.74489	-2.88275	-1.57444	-1.45958	-1.41001	0.009788171	0.09126662	0.09812421	0.03213735	0.0681161	0.093866	0.838018	0.207124	0.232334	0.24414
33	-1585.09	-1582.58	-2.50856	0.194551	0.1614	0.0526847	-1.63706	-1.82387	-2.94343	-1.59599	-1.52605	-1.34544	0.01282218	0.09009048	0.09812421	0.02435648	0.425082	0.252459	0.322459	0.202707	0.217393	0.260426
