Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	rate_12	rate_21	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
1533	-1585.07	-1580.18	-4.8932	0.202988	0.203887	0.010725	-1.59461	-1.59019	-4.53518	-1.41504	-1.86187	-1.38711	0.01588474	0.08178836	0.08598865	0.03713782	0.278144	0.1015	0.620356	0.242917	0.155382	0.249795
1534	-1585.6	-1580.68	-4.91501	0.221048	0.204986	0.0119894	-1.50937	-1.58481	-4.42374	-1.31908	-1.89241	-1.33728	0.01830205	0.06007956	0.08598865	0.05991894	0.278144	0.1015	0.620356	0.267382	0.150709	0.262558
1535	-1587.27	-1582.09	-5.17773	0.246069	0.202409	0.0111374	-1.40215	-1.59746	-4.49745	-1.28545	-1.94457	-1.29707	0.02066582	0.06007956	0.08598865	0.05991894	0.26646	0.0972368	0.636303	0.276527	0.143049	0.273331
1536	-1587.34	-1581.96	-5.37846	0.217944	0.210524	0.0107398	-1.52352	-1.55815	-4.5338	-1.22637	-1.9043	-1.36381	0.02104838	0.06801088	0.08598865	0.06906508	0.26646	0.0972368	0.636303	0.293357	0.148926	0.255684
1537	-1586.94	-1581.43	-5.51451	0.227275	0.194102	0.0101429	-1.48159	-1.63937	-4.59098	-1.22637	-1.70736	-1.45402	0.02104838	0.07427418	0.08598865	0.06906508	0.26646	0.0972368	0.636303	0.293357	0.181344	0.23363
1538	-1584.88	-1579.76	-5.12118	0.215988	0.215046	0.010967	-1.53253	-1.5369	-4.51286	-1.28042	-1.73262	-1.48021	0.02104838	0.08448336	0.1057478	0.03257541	0.26646	0.0972368	0.636303	0.27792	0.176821	0.227589
1539	-1586.39	-1581.31	-5.08903	0.208896	0.295016	0.0117547	-1.56592	-1.22073	-4.4435	-1.26867	-1.73262	-1.44771	0.02033528	0.07451611	0.1057478	0.03722926	0.26646	0.0972368	0.636303	0.281206	0.176821	0.235107
1540	-1584.37	-1579.31	-5.05533	0.207765	0.278276	0.0116642	-1.57135	-1.27914	-4.45123	-1.27618	-1.57123	-1.41576	0.02033528	0.0503243	0.1057478	0.05068142	0.26646	0.0972368	0.636303	0.279102	0.20779	0.242742
1541	-1586.38	-1580.77	-5.61146	0.220042	0.278276	0.00970607	-1.51394	-1.27914	-4.635	-1.2843	-1.62612	-1.50535	0.03326995	0.0636763	0.08024258	0.05068142	0.26646	0.0972368	0.636303	0.276845	0.196692	0.22194
1542	-1585.89	-1580.33	-5.55694	0.192761	0.293706	0.00931565	-1.6463	-1.22518	-4.67606	-1.35182	-1.70215	-1.47576	0.02168368	0.07876271	0.08024258	0.05068142	0.302043	0.110222	0.587735	0.258769	0.182291	0.228605
1543	-1588.06	-1582.31	-5.74676	0.200255	0.247208	0.009281	-1.60816	-1.39753	-4.67979	-1.40997	-1.82533	-1.47576	0.01873186	0.1265316	0.06469912	0.07100672	0.0875555	0.441452	0.470992	0.244152	0.161164	0.228605
1544	-1586.86	-1581.1	-5.7663	0.210768	0.247208	0.0083929	-1.557	-1.39753	-4.78037	-1.35146	-1.75125	-1.46887	0.01340686	0.09840566	0.07412278	0.07386393	0.0875555	0.441452	0.470992	0.258861	0.173556	0.230187
1545	-1588.22	-1582.21	-6.00362	0.213584	0.224947	0.00812304	-1.54373	-1.49189	-4.81305	-1.51052	-1.72459	-1.46887	0.01340686	0.1310701	0.07412278	0.08269963	0.0842719	0.424896	0.490832	0.220795	0.178246	0.230187
1546	-1592.99	-1586.86	-6.13034	0.218768	0.200761	0.00795414	-1.51974	-1.60564	-4.83406	-1.66089	-1.7151	-1.45027	0.01331779	0.1310701	0.07412278	0.1029022	0.0666945	0.336271	0.597034	0.18997	0.179945	0.234507
1547	-1588.57	-1582.49	-6.07871	0.214971	0.178818	0.00690935	-1.53725	-1.72139	-4.97488	-1.61817	-1.79605	-1.48048	0.01244748	0.1452443	0.07412278	0.05481051	0.07463	0.376282	0.549088	0.198261	0.165952	0.227529
1548	-1590.9	-1584.88	-6.02092	0.2319	0.18524	0.00688592	-1.46145	-1.6861	-4.97828	-1.63356	-1.7682	-1.4319	0.01244748	0.1452443	0.07211658	0.04676465	0.07463	0.376282	0.549088	0.195234	0.170639	0.238854
1549	-1585.95	-1579.49	-6.46222	0.226948	0.192551	0.0066215	-1.48303	-1.6474	-5.01743	-1.45194	-1.7114	-1.44376	0.01515176	0.1452443	0.1009872	0.04769334	0.07463	0.376282	0.549088	0.234117	0.180613	0.23604
1550	-1586.91	-1581.01	-5.90206	0.259956	0.188411	0.00680681	-1.34724	-1.66913	-4.98983	-1.45194	-1.66874	-1.44376	0.01258429	0.1061309	0.1028141	0.02922696	0.121786	0.357107	0.521107	0.234117	0.188484	0.23604
1551	-1586.55	-1580.64	-5.91599	0.285861	0.146078	0.00644523	-1.25225	-1.92361	-5.04442	-1.45194	-1.54461	-1.44376	0.00887826	0.06553161	0.1358024	0.03712566	0.071607	0.377511	0.550882	0.234117	0.213396	0.23604
1552	-1588.74	-1582.66	-6.07749	0.309738	0.138883	0.00699443	-1.17203	-1.97412	-4.96264	-1.39314	-1.49127	-1.53604	0.00887826	0.1092338	0.1358024	0.03712566	0.150164	0.345568	0.504268	0.248294	0.225087	0.215232
1553	-1590.53	-1584.6	-5.93054	0.312615	0.172345	0.00671548	-1.16278	-1.75826	-5.00334	-1.39315	-1.37687	-1.48688	0.01328667	0.08610705	0.09260806	0.02957717	0.101466	0.5578	0.340735	0.248291	0.252368	0.226077
1554	-1590.91	-1584.9	-6.0075	0.318005	0.150838	0.00751724	-1.14569	-1.89155	-4.89056	-1.45013	-1.18619	-1.42012	0.01283565	0.1051223	0.1168469	0.02957717	0.0941584	0.517628	0.388213	0.23454	0.305382	0.241685
1555	-1590.22	-1583.5	-6.71726	0.309859	0.150838	0.00768392	-1.17164	-1.89155	-4.86863	-1.34241	-1.18619	-1.38124	0.01056911	0.2030138	0.1371418	0.05094732	0.0941584	0.517628	0.388213	0.261217	0.305382	0.251268
1556	-1588.76	-1582.43	-6.33532	0.285392	0.16187	0.00890014	-1.25389	-1.82096	-4.72169	-1.43365	-1.22508	-1.44861	0.01513221	0.2030138	0.1089143	0.05094732	0.0941584	0.517628	0.388213	0.238436	0.293734	0.234896
1557	-1588.7	-1582.32	-6.37619	0.266055	0.148446	0.00902498	-1.32405	-1.90753	-4.70776	-1.32595	-1.23154	-1.48827	0.01751576	0.2030138	0.1089143	0.05094732	0.0941584	0.517628	0.388213	0.265551	0.291842	0.225763
1558	-1588.64	-1582.35	-6.28731	0.233365	0.141585	0.00823665	-1.45515	-1.95485	-4.79916	-1.29229	-1.24183	-1.49611	0.01751576	0.2030138	0.09707814	0.03695589	0.0941584	0.517628	0.388213	0.274641	0.288856	0.224
1559	-1586.47	-1580.04	-6.42095	0.25968	0.200309	0.00790457	-1.3483	-1.6079	-4.84031	-1.29229	-1.37231	-1.41825	0.02326112	0.1450207	0.09707814	0.04420301	0.0941584	0.517628	0.388213	0.274641	0.253522	0.242137
1560	-1586.49	-1581.05	-5.43626	0.25968	0.207504	0.00842093	-1.3483	-1.57261	-4.77704	-1.24844	-1.41269	-1.53537	0.01157478	0.09883178	0.09707814	0.02876343	0.0941584	0.517628	0.388213	0.286951	0.243486	0.215376
1561	-1585.98	-1580.77	-5.20581	0.250204	0.207514	0.00909654	-1.38548	-1.57256	-4.69986	-1.3195	-1.23982	-1.45137	0.01040438	0.08899952	0.09707814	0.02876343	0.0941584	0.517628	0.388213	0.267268	0.289438	0.23425
1562	-1587.36	-1582.15	-5.21357	0.250008	0.163048	0.00865472	-1.38626	-1.81371	-4.74965	-1.30728	-1.23982	-1.60477	0.01040438	0.06972783	0.097204	0.03525459	0.0941584	0.517628	0.388213	0.270556	0.289438	0.200936
1563	-1588.27	-1583.73	-4.53963	0.252993	0.169229	0.00957323	-1.37439	-1.7765	-4.64878	-1.37607	-1.29332	-1.60374	0.007624147	0.06668748	0.1089141	0.01961401	0.124931	0.359979	0.51509	0.252569	0.274359	0.201143
1564	-1585.66	-1580.83	-4.83472	0.255537	0.169893	0.0101177	-1.36439	-1.77259	-4.59347	-1.37607	-1.37869	-1.56805	0.007624147	0.07694467	0.09258436	0.0451951	0.174967	0.313085	0.511948	0.252569	0.251909	0.208451
1565	-1584.93	-1579.74	-5.19199	0.264783	0.193766	0.010561	-1.32884	-1.6411	-4.55059	-1.4188	-1.37869	-1.39768	0.01112636	0.07694467	0.1260131	0.0451951	0.268133	0.27773	0.454136	0.242005	0.251909	0.24717
1566	-1584.97	-1579.57	-5.39961	0.26238	0.174701	0.00967737	-1.33796	-1.74468	-4.63796	-1.4188	-1.40563	-1.36648	0.008779862	0.1236177	0.1048208	0.0451951	0.24306	0.25176	0.505181	0.242005	0.245213	0.255002
1567	-1584	-1579.41	-4.59235	0.253285	0.177445	0.0112408	-1.37324	-1.72909	-4.4882	-1.44281	-1.40716	-1.42175	0.005490658	0.09273356	0.1048208	0.04021045	0.24306	0.25176	0.505181	0.236263	0.244837	0.241292
1568	-1584.8	-1580	-4.7947	0.240304	0.176927	0.0107457	-1.42585	-1.73202	-4.53325	-1.41604	-1.40457	-1.53378	0.01222773	0.07941259	0.106944	0.02913857	0.302927	0.231848	0.465225	0.242673	0.245472	0.215719
1569	-1585.18	-1579.61	-5.56293	0.255164	0.177624	0.00859088	-1.36585	-1.72809	-4.75705	-1.45607	-1.36558	-1.37907	0.01222773	0.08258636	0.11716	0.04013731	0.302927	0.231848	0.465225	0.233151	0.255233	0.251812
1570	-1587.81	-1582.17	-5.63492	0.240612	0.181261	0.00937793	-1.42457	-1.70782	-4.6694	-1.50427	-1.31393	-1.44286	0.01558188	0.1574345	0.11716	0.02574117	0.364532	0.0756303	0.559837	0.222179	0.268761	0.236252
1571	-1588.16	-1582.96	-5.20669	0.24623	0.150269	0.010597	-1.40149	-1.89533	-4.54719	-1.46837	-1.20168	-1.48726	0.02232912	0.1004809	0.11716	0.01985022	0.364532	0.0756303	0.559837	0.2303	0.300689	0.225991
1572	-1587.62	-1582.63	-4.99197	0.224442	0.14434	0.0112037	-1.49414	-1.93559	-4.49151	-1.41523	-1.20168	-1.48726	0.02251207	0.09492227	0.11716	0.01742297	0.301872	0.06263	0.635498	0.24287	0.300689	0.225991
1573	-1589.85	-1584.54	-5.3096	0.204534	0.155449	0.0101255	-1.58702	-1.86144	-4.5927	-1.36606	-1.20591	-1.46966	0.02251207	0.09754642	0.13936	0.01742297	0.301872	0.06263	0.635498	0.255111	0.299421	0.230003
1574	-1588.3	-1582.5	-5.80342	0.221378	0.160752	0.0101255	-1.50788	-1.82789	-4.5927	-1.40124	-1.24992	-1.43888	0.03547725	0.1407494	0.1222496	0.02170679	0.289482	0.101102	0.609416	0.246291	0.286528	0.237194
1575	-1587.31	-1581.91	-5.39983	0.20291	0.136486	0.0099558	-1.595	-1.99153	-4.6096	-1.37622	-1.27109	-1.41902	0.0236836	0.09216285	0.1222496	0.02370589	0.289482	0.101102	0.609416	0.252532	0.280526	0.24195
1576	-1588.96	-1583.78	-5.18212	0.222081	0.136486	0.0099558	-1.50471	-1.99153	-4.6096	-1.41313	-1.23652	-1.34931	0.01748765	0.05330221	0.1450439	0.02849415	0.289482	0.101102	0.609416	0.243381	0.290393	0.259419
1577	-1585.38	-1580.78	-4.59964	0.232428	0.144255	0.0099558	-1.45918	-1.93617	-4.6096	-1.42252	-1.4481	-1.36322	0.01037555	0.063445	0.1097077	0.02112688	0.289482	0.101102	0.609416	0.241106	0.235017	0.255836
1578	-1585.12	-1579.99	-5.13344	0.24704	0.12218	0.00932316	-1.3982	-2.10226	-4.67525	-1.26982	-1.45086	-1.48834	0.01037555	0.06325788	0.1097077	0.04080805	0.283848	0.101903	0.614248	0.280882	0.234369	0.225748
1579	-1585.85	-1580.62	-5.22895	0.304725	0.130664	0.0103949	-1.18835	-2.03512	-4.56644	-1.28221	-1.45086	-1.49018	0.01134216	0.0775898	0.1247693	0.04080805	0.071761	0.132082	0.796157	0.277424	0.234369	0.225332
1580	-1587.42	-1582.17	-5.2525	0.304725	0.132423	0.00998694	-1.18835	-2.02175	-4.60648	-1.24218	-1.48437	-1.55325	0.01259554	0.06389675	0.1270234	0.04080805	0.071761	0.132082	0.796157	0.288754	0.226645	0.211559
1581	-1588.7	-1583.72	-4.97841	0.311289	0.115475	0.0116085	-1.16703	-2.1587	-4.45602	-1.31507	-1.71154	-1.54155	0.01259554	0.06218942	0.1421187	0.04080805	0.071761	0.132082	0.796157	0.268455	0.180588	0.21405
1582	-1582.99	-1578.09	-4.89607	0.260151	0.126499	0.0113439	-1.34649	-2.06752	-4.47908	-1.34093	-1.69526	-1.45563	0.01259554	0.08121375	0.1087415	0.03858489	0.071761	0.132082	0.796157	0.261602	0.183551	0.233253
1583	-1583.12	-1578.8	-4.31253	0.244158	0.135816	0.0123496	-1.40994	-1.99645	-4.39413	-1.32014	-1.67488	-1.42639	0.005265904	0.08539574	0.1087415	0.03858489	0.195087	0.359073	0.44584	0.267097	0.187331	0.240175
1584	-1585.25	-1581.29	-3.96054	0.244472	0.135183	0.0145743	-1.40866	-2.00113	-4.2285	-1.30034	-1.79712	-1.52404	0.007182863	0.09389258	0.07220429	0.03858489	0.195087	0.359073	0.44584	0.272438	0.165775	0.21783
1585	-1585.02	-1580.54	-4.47755	0.244472	0.0994051	0.01427	-1.40866	-2.30855	-4.24959	-1.35839	-1.79891	-1.49733	0.007121793	0.1401181	0.1153658	0.03277567	0.195087	0.359073	0.44584	0.257074	0.165479	0.223727
1586	-1585.15	-1580.92	-4.23178	0.251647	0.112048	0.0136316	-1.37973	-2.18882	-4.29537	-1.4109	-1.86581	-1.45173	0.004033338	0.1401181	0.1153658	0.03229389	0.111504	0.205232	0.683264	0.243923	0.154771	0.234164
1587	-1585.28	-1580.83	-4.44687	0.240569	0.13192	0.0129995	-1.42475	-2.02556	-4.34284	-1.51169	-1.6711	-1.49331	0.004033338	0.1401181	0.09610291	0.0573952	0.111504	0.205232	0.683264	0.220538	0.18804	0.224627
1588	-1585.46	-1580.84	-4.61403	0.232522	0.147468	0.0110158	-1.45877	-1.91414	-4.50842	-1.51169	-1.60036	-1.49121	0.002973234	0.1445665	0.09610291	0.0573952	0.111504	0.205232	0.683264	0.220538	0.201824	0.225099
1589	-1587.33	-1582.98	-4.35256	0.189894	0.13493	0.0102884	-1.66129	-2.003	-4.57673	-1.4311	-1.61752	-1.49581	0.002417788	0.0777387	0.1147519	0.0573952	0.445593	0.148678	0.405729	0.239045	0.19839	0.224067
1590	-1583.9	-1579.48	-4.41667	0.217232	0.142419	0.0109202	-1.52679	-1.94898	-4.51714	-1.47507	-1.61752	-1.43625	0.003952607	0.0777387	0.1034344	0.05433322	0.110102	0.224688	0.665209	0.228762	0.19839	0.237818
1591	-1582.79	-1579.14	-3.65682	0.2343	0.139267	0.0131772	-1.45115	-1.97136	-4.32927	-1.39922	-1.64272	-1.48199	0.003682874	0.05218573	0.0975471	0.04176871	0.110102	0.224688	0.665209	0.24679	0.193453	0.227185
1592	-1583.02	-1579.62	-3.4083	0.252282	0.139267	0.0138795	-1.37721	-1.97136	-4.27734	-1.33295	-1.69357	-1.39685	0.003682874	0.04378144	0.09969816	0.03212563	0.110102	0.224688	0.665209	0.263699	0.183862	0.247376
1593	-1583.31	-1579.74	-3.56345	0.215927	0.135361	0.0138936	-1.53282	-1.99981	-4.27633	-1.33234	-1.72363	-1.37048	0.003682874	0.04606089	0.09969816	0.04383512	0.110102	0.224688	0.665209	0.263859	0.178418	0.253985
1594	-1582.48	-1578.97	-3.51737	0.222088	0.142879	0.0151419	-1.50468	-1.94576	-4.19029	-1.37443	-1.62461	-1.39771	0.003682874	0.06787537	0.09893122	0.03635343	0.121402	0.247747	0.630851	0.252984	0.196988	0.247162
1595	-1582.52	-1579.1	-3.41948	0.203157	0.142052	0.0137709	-1.59378	-1.95156	-4.2852	-1.40231	-1.62461	-1.47339	0.003682874	0.04892278	0.09893122	0.03469542	0.121402	0.247747	0.630851	0.246027	0.196988	0.229148
1596	-1582.86	-1579.31	-3.55866	0.225761	0.141299	0.0141299	-1.48828	-1.95688	-4.25946	-1.47452	-1.63954	-1.48953	0.004977285	0.05057631	0.09893122	0.03588937	0.121402	0.247747	0.630851	0.22889	0.194069	0.22548
1597	-1583.21	-1579.93	-3.27982	0.211997	0.134365	0.0177413	-1.55118	-2.00719	-4.03186	-1.5004	-1.58586	-1.53369	0.005288286	0.06677251	0.09893122	0.03156859	0.121402	0.247747	0.630851	0.22304	0.204771	0.215738
1598	-1584.06	-1580.55	-3.51364	0.24021	0.12971	0.0166636	-1.42624	-2.04246	-4.09453	-1.50987	-1.57039	-1.43383	0.003567279	0.1052494	0.09893122	0.03156859	0.121402	0.247747	0.630851	0.22094	0.207965	0.238394
1599	-1589.63	-1586.18	-3.4476	0.220973	0.12971	0.0166636	-1.50972	-2.04246	-4.09453	-1.44466	-1.58981	-1.42237	0.003567279	0.1568168	0.07305414	0.02451955	0.486425	0.132044	0.381531	0.235827	0.203963	0.241141
1600	-1587.73	-1583.93	-3.80383	0.217881	0.12971	0.0145853	-1.52381	-2.04246	-4.22774	-1.4345	-1.72234	-1.50821	0.004297077	0.1272657	0.1145533	0.02245321	0.51041	0.125877	0.363713	0.238236	0.178647	0.221305
1601	-1588.12	-1584.64	-3.47725	0.199528	0.141611	0.0139223	-1.6118	-1.95467	-4.27427	-1.4725	-1.74707	-1.41897	0.002921086	0.1166686	0.0902675	0.02245321	0.51041	0.125877	0.363713	0.22935	0.174283	0.241964
1602	-1585.44	-1582.06	-3.37618	0.196383	0.130271	0.0143151	-1.62769	-2.03814	-4.24644	-1.48441	-1.9143	-1.33529	0.001577733	0.09833884	0.0902675	0.04204331	0.400921	0.154028	0.445052	0.226636	0.147446	0.263082
1603	-1586.47	-1583.02	-3.45447	0.174859	0.130271	0.0139664	-1.74378	-2.03814	-4.2711	-1.62413	-1.93265	-1.32638	0.001577733	0.1018896	0.09768049	0.04281381	0.161296	0.215637	0.623067	0.197084	0.144764	0.265435
1604	-1584.54	-1582.13	-2.41046	0.166949	0.130271	0.0162711	-1.79007	-2.03814	-4.11837	-1.48319	-1.95886	-1.4328	0.00087154	0.0659729	0.07740355	0.03612794	0.1859	0.209311	0.604789	0.226913	0.141019	0.23864
1605	-1585.23	-1582.86	-2.37311	0.158292	0.135876	0.0151364	-1.84332	-1.99601	-4.19065	-1.38166	-1.97139	-1.55713	0.00087154	0.05062267	0.07483302	0.03730106	0.1859	0.209311	0.604789	0.25116	0.139263	0.21074
1606	-1587.27	-1585.41	-1.86022	0.140687	0.137167	0.0154179	-1.96122	-1.98655	-4.17223	-1.42932	-2.07127	-1.47255	0.0008487282	0.02448368	0.06293554	0.03730106	0.1859	0.209311	0.604789	0.239471	0.126025	0.22934
1607	-1585.27	-1582.34	-2.93452	0.151756	0.12993	0.0142385	-1.88548	-2.04076	-4.2518	-1.42932	-1.9699	-1.49882	0.001625423	0.06155143	0.06293554	0.04752225	0.1859	0.209311	0.604789	0.239471	0.13947	0.223393
1608	-1585.93	-1582.64	-3.28526	0.123297	0.127502	0.0130447	-2.09316	-2.05962	-4.33937	-1.42932	-2.02787	-1.46425	0.002009741	0.06684403	0.07235426	0.04164169	0.217411	0.24479	0.537799	0.239471	0.131615	0.231251
1609	-1588.06	-1584.64	-3.42143	0.119602	0.139673	0.0139847	-2.12359	-1.96845	-4.26979	-1.43003	-2.06395	-1.50622	0.002009741	0.08669737	0.08908854	0.04164169	0.217411	0.24479	0.537799	0.239301	0.126951	0.221747
1610	-1585.08	-1581.87	-3.21301	0.129989	0.139673	0.0129878	-2.0403	-1.96845	-4.34374	-1.56454	-2.07704	-1.49221	0.002009741	0.05915114	0.07905642	0.04107356	0.258531	0.101956	0.639514	0.209184	0.1253	0.224875
1611	-1587.33	-1583.6	-3.72599	0.117296	0.148305	0.010125	-2.14306	-1.90848	-4.59275	-1.56454	-1.98678	-1.48811	0.001934545	0.06380758	0.09694833	0.03386224	0.258531	0.101956	0.639514	0.209184	0.137136	0.225799
1612	-1587.33	-1583.71	-3.6155	0.124767	0.168759	0.0124375	-2.08131	-1.77928	-4.38704	-1.55445	-1.79733	-1.40058	0.001614928	0.08436377	0.09694833	0.04853172	0.258531	0.101956	0.639514	0.211306	0.16574	0.246455
1613	-1585.27	-1582.43	-2.83457	0.121068	0.140795	0.0124231	-2.1114	-1.96045	-4.3882	-1.64342	-1.7329	-1.46819	0.001100347	0.03838839	0.09694833	0.03870472	0.258531	0.101956	0.639514	0.193318	0.176771	0.230341
1614	-1585.27	-1582.21	-3.06395	0.129338	0.138735	0.012416	-2.04532	-1.97519	-4.38877	-1.6393	-1.68984	-1.55522	0.001262179	0.04867195	0.09382699	0.04453783	0.258531	0.101956	0.639514	0.194117	0.18455	0.211143
1615	-1586.04	-1582.86	-3.17921	0.131853	0.133498	0.0115614	-2.02607	-2.01367	-4.46008	-1.7246	-1.64633	-1.56533	0.001262179	0.04772368	0.09382699	0.04453783	0.274458	0.0466289	0.678913	0.178244	0.192756	0.20902
1616	-1585.05	-1581.86	-3.19469	0.143559	0.132	0.0120844	-1.94101	-2.02495	-4.41584	-1.57438	-1.75378	-1.58259	0.001800531	0.05065906	0.09382699	0.03606337	0.56115	0.0282039	0.410646	0.207136	0.173119	0.205442
1617	-1585.15	-1581.78	-3.36543	0.143559	0.145803	0.0135745	-1.94101	-1.9255	-4.29956	-1.58974	-1.71741	-1.43997	0.001719407	0.08164125	0.09767302	0.04193318	0.489459	0.00503913	0.505502	0.203978	0.17953	0.236936
1618	-1586.87	-1584.04	-2.83311	0.146784	0.172851	0.0119676	-1.91879	-1.75533	-4.42555	-1.74456	-1.73081	-1.44545	0.0004246691	0.08164125	0.08907743	0.04336036	0.489459	0.00503913	0.505502	0.174723	0.177141	0.235639
1619	-1586.51	-1584.13	-2.38564	0.13556	0.189006	0.0131428	-1.99834	-1.66597	-4.33188	-1.80844	-1.67304	-1.45478	0.0004246691	0.05341621	0.08151926	0.04336036	0.200108	0.00789509	0.791997	0.16391	0.187676	0.233453
1620	-1585.71	-1583.43	-2.27613	0.142627	0.151117	0.0132725	-1.94753	-1.8897	-4.32206	-1.73712	-1.67267	-1.50111	0.0005469484	0.05074439	0.08151926	0.03195858	0.200108	0.00789509	0.791997	0.176026	0.187744	0.222883
1621	-1586.2	-1583.46	-2.7401	0.156189	0.160428	0.0130615	-1.85669	-1.82991	-4.33809	-1.7223	-1.75876	-1.40863	0.001116842	0.05599091	0.08234701	0.03195858	0.200108	0.00789509	0.791997	0.178655	0.172259	0.244479
1622	-1584.68	-1581.91	-2.77393	0.160342	0.175562	0.0134092	-1.83045	-1.73977	-4.31181	-1.68625	-1.78479	-1.47417	0.001898685	0.02974431	0.08234701	0.04377007	0.200108	0.00789509	0.791997	0.185212	0.167832	0.228968
1623	-1586.7	-1583.92	-2.78303	0.187632	0.168002	0.0168872	-1.67327	-1.78378	-4.0812	-1.69854	-1.74749	-1.50326	0.001898685	0.04449139	0.08234701	0.06060945	0.200108	0.00789509	0.791997	0.182951	0.17421	0.222404
1624	-1586.82	-1584.2	-2.62437	0.174275	0.15564	0.0169507	-1.74712	-1.86021	-4.07744	-1.72724	-1.82645	-1.41191	0.001325918	0.04449139	0.08505555	0.06060945	0.458032	0.0180713	0.523897	0.177774	0.160984	0.243678
1625	-1586.22	-1583.29	-2.92987	0.157558	0.157389	0.0149068	-1.84796	-1.84903	-4.20593	-1.72724	-1.95639	-1.35512	0.002048317	0.04449139	0.0954807	0.04137308	0.458032	0.0180713	0.523897	0.177774	0.141367	0.257917
1626	-1584.75	-1582.16	-2.58914	0.172618	0.149186	0.0160225	-1.75668	-1.90256	-4.13376	-1.6307	-1.94294	-1.51078	0.002271477	0.02841889	0.0954807	0.04137308	0.393181	0.0202337	0.586585	0.195793	0.143282	0.220738
1627	-1584.37	-1581.1	-3.26861	0.182751	0.142683	0.0157124	-1.69963	-1.94713	-4.15331	-1.58471	-1.9463	-1.4391	0.00304008	0.07982202	0.09336334	0.03497335	0.393181	0.0202337	0.586585	0.205007	0.142801	0.237142
1628	-1584.14	-1580.53	-3.60769	0.213194	0.150974	0.0149049	-1.54555	-1.89065	-4.20606	-1.55963	-1.78098	-1.44656	0.004002984	0.07982202	0.1122097	0.03325044	0.393181	0.0202337	0.586585	0.210214	0.168472	0.235378
1629	-1583.84	-1579.7	-4.14302	0.222054	0.142014	0.0125208	-1.50483	-1.95183	-4.38037	-1.4423	-1.81373	-1.47951	0.005958488	0.07982202	0.1114152	0.03325044	0.560622	0.0288504	0.410527	0.236384	0.163044	0.227748
1630	-1582.97	-1579.57	-3.3991	0.202879	0.147847	0.0156067	-1.59515	-1.91158	-4.16006	-1.54795	-1.75123	-1.44521	0.005958488	0.05790626	0.1024682	0.02807553	0.0832585	0.0601951	0.856546	0.212683	0.17356	0.235696
1631	-1584.09	-1580.53	-3.55285	0.223776	0.13875	0.0178916	-1.49711	-1.97508	-4.02342	-1.59101	-1.76735	-1.49252	0.007153772	0.08391667	0.1024682	0.03190825	0.0832585	0.0601951	0.856546	0.20372	0.170786	0.224805
1632	-1583.82	-1580.6	-3.21389	0.208579	0.137611	0.0176586	-1.56744	-1.98333	-4.03653	-1.53514	-1.72854	-1.48856	0.007153772	0.0590055	0.07827767	0.03190825	0.0832585	0.0601951	0.856546	0.215425	0.177544	0.225697
1633	-1583.33	-1580.87	-2.46693	0.194653	0.148496	0.0212455	-1.63653	-1.9072	-3.85161	-1.58609	-1.70778	-1.48856	0.006638514	0.0234622	0.09332609	0.03129721	0.117421	0.0579519	0.824627	0.204725	0.181268	0.225697
1634	-1583.63	-1581.14	-2.49334	0.202851	0.140109	0.0223425	-1.59528	-1.96533	-3.80126	-1.44659	-1.65103	-1.48856	0.007747963	0.01681206	0.1175133	0.03129721	0.117421	0.0579519	0.824627	0.235372	0.191852	0.225697
1635	-1584.05	-1581.77	-2.28298	0.224246	0.146633	0.0239075	-1.49501	-1.91982	-3.73356	-1.45439	-1.7821	-1.38591	0.006777479	0.02696177	0.09782501	0.0205824	0.0496494	0.0624019	0.887949	0.233543	0.168285	0.250097
1636	-1583.97	-1580.92	-3.05003	0.245207	0.155946	0.0210771	-1.40565	-1.85825	-3.85957	-1.4723	-1.76552	-1.3453	0.01065383	0.02696177	0.09782501	0.03802045	0.0496494	0.0624019	0.887949	0.229397	0.171097	0.260462
1637	-1589.67	-1585.95	-3.7198	0.26079	0.133245	0.0210771	-1.34404	-2.01556	-3.85957	-1.43266	-1.76775	-1.23641	0.01065383	0.03279642	0.1489743	0.05659217	0.0496494	0.0624019	0.887949	0.238674	0.170716	0.290424
1638	-1587.18	-1583.65	-3.52997	0.266588	0.129959	0.0175806	-1.32205	-2.04054	-4.04096	-1.63834	-1.84307	-1.32842	0.005761076	0.04589562	0.1255156	0.04359347	0.0496494	0.0624019	0.887949	0.194302	0.158331	0.264895
1639	-1589.77	-1586.73	-3.03704	0.266588	0.149517	0.0195201	-1.32205	-1.90034	-3.93631	-1.7458	-1.8426	-1.37764	0.006688819	0.03553029	0.1207534	0.0298748	0.0496494	0.0624019	0.887949	0.174506	0.158406	0.252172
1640	-1588.96	-1586.63	-2.33172	0.210036	0.142048	0.0186671	-1.56048	-1.95159	-3.98099	-1.7458	-1.8692	-1.42092	0.002656986	0.03553029	0.1207534	0.01958217	0.0496494	0.0624019	0.887949	0.174506	0.154247	0.241493
