"","Parameter","MAP","Left bound CI","Right bound CI"
"1","Speciation C",1.7781352446184,1.47544,2.1616
"2","Speciation I",1.15872445205479,0.893184,1.51226
"3","Extinction C",1.78355142857143,1.45653,2.18133
"4","Extinction I",0.608774879060665,0.170221,1.07529
"5","Net Div C",-0.00463904109589031,-0.0805400000000001,0.0683400000000001
"6","Net Div I",0.552735866927593,0.3997,0.76694
"7","Rel Ext C",1.00026071281988,0.95987987987988,1.04470365294848
"8","Rel Ext I",0.524322499913796,0.185780970358564,0.720448035569236
"9","q_IC",0.368799519178082,0.2322353,0.57419
