"","Parameter","MAP","Left bound CI","Right bound CI"
"1","Speciation D",1.50614031311155,1.28486,1.75659
"2","Speciation P",1.22817436986301,0.804334,1.90374
"3","Extinction D",1.24109607436399,0.997107,1.52141
"4","Extinction P",1.2795371037182,0.840538,1.9803
"5","Net Div D",0.258945228962818,0.2133,0.3099
"6","Net Div P",-0.0581441585127205,-0.16196,0.03867
"7","Rel Ext D",0.827878687997018,0.769638871051586,0.872430020851049
"8","Rel Ext P",1.04723046095366,0.967514874141876,1.13459137088799
"9","rho",0.0472066467710371,0.03060316,0.06902513
