idnumber,source,fullname,genus,species,cultivarhybrid,csomenumber,lifehistoryclean,ploidy,selfincomp,ploidybyZF,namechangedfrom
1,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
2,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
3,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
4,RZF,Acnistus_arborescens,Acnistus,arborescens,,24,P,2,SC,,
5,EEG,Acnistus_arborescens,Acnistus,arborescens,,,,,,,
6,EEG,Acnistus_arborescens,Acnistus,arborescens,,,,,,,
7,RZF,Acnistus_parviflorus,Acnistus,parviflorus,,24,,2,,,
8,RZF,Acnistus_parviflorus,Acnistus,parviflorus,,24,,2,,,
9,EEG,Alona_stenophylla,Alona,stenophylla,,,,,,,
10,RZF,Anisodus_acutangulus,Anisodus,acutangulus,,48,P,4,SC,,
11,RZF,Anisodus_acutangulus,Anisodus,acutangulus,,48,P,4,SC,,
12,EEG,Anisodus_acutangulus,Anisodus,acutangulus,,,,,,,
13,EEG,Anisodus_acutangulus,Anisodus,acutangulus,,48,P,4,SC,,
14,EEG,Anisodus_carniolicoides,Anisodus,carniolicoides,,48,P,4,SC,,
15,EEG,Anisodus_carniolicoides,Anisodus,carniolicoides,,48,P,4,SC,,
16,RZF,Anisodus_luridus,Anisodus,luridus,,48,P,8,,,
17,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
18,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
19,RZF,Anisodus_luridus,Anisodus,luridus,,48,P,8,,,
20,RZF,Anisodus_luridus,Anisodus,luridus,,48,P,8,,,
21,RZF,Anisodus_luridus,Anisodus,luridus,,50,P,8,,,
22,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
23,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
24,RZF,Anisodus_luridus,Anisodus,luridus,,24,P,4,,,
25,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
26,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
27,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
28,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
29,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
30,EEG,Anisodus_luridus,Anisodus,luridus,,,,,,,
31,RZF,Anisodus_tanguticus,Anisodus,tanguticus,,48,P,8,SC,,
32,RZF,Anisodus_tanguticus,Anisodus,tanguticus,,48,P,8,SC,,
33,RZF,Anisodus_tanguticus,Anisodus,tanguticus,,42,P,8,SC,,
34,EEG,Anisodus_tanguticus,Anisodus,tanguticus,,,,,,,
35,EEG,Anisodus_tanguticus,Anisodus,tanguticus,,,,,,,
36,EEG,Anisodus_tanguticus,Anisodus,tanguticus,,,,,,,
37,EEG,Anthocercis_angustifolia,Anthocercis,angustifolia,,72,,6,SC,,
38,EEG,Anthocercis_angustifolia,Anthocercis,angustifolia,,,,,,,
39,RZF,Anthocercis_anisantha,Anthocercis,anisantha,,72,,,,,
40,EEG,Anthocercis_anisantha,Anthocercis,anisantha,,,,,,,
41,EEG,Anthocercis_anisantha,Anthocercis,anisantha,,,,,,,
42,EEG,Anthocercis_fasciculata,Anthocercis,fasciculata,,72,,,,,
43,RZF,Anthocercis_genistoides,Anthocercis,genistoides,,72,,,,,
44,EEG,Anthocercis_genistoides,Anthocercis,genistoides,,,,,,,
45,RZF,Anthocercis_gracilis,Anthocercis,gracilis,,72,,6,SC,,
46,EEG,Anthocercis_gracilis,Anthocercis,gracilis,,,,,,,
47,RZF,Anthocercis_ilicifolia,Anthocercis,ilicifolia,,72,,6,SC,,
48,EEG,Anthocercis_ilicifolia,Anthocercis,ilicifolia,,,,,,,
49,EEG,Anthocercis_intricata,Anthocercis,intricata,,72,,6,SC,,
50,RZF,Anthocercis_littorea,Anthocercis,littorea,,72,,6,SC,,
51,EEG,Anthocercis_littorea,Anthocercis,littorea,,,,,,,
52,EEG,Anthocercis_sylvicola,Anthocercis,sylvicola,,,,,,,
53,RZF,Anthocercis_viscosa,Anthocercis,viscosa,,72,,6,SC,,
54,EEG,Anthocercis_viscosa,Anthocercis,viscosa,,,,,,,
55,EEG,Anthotroche_myoporoides,Anthotroche,myoporoides,,62,,5,SC,,
56,RZF,Anthotroche_pannosa,Anthotroche,pannosa,,62,,5,SC,,
57,EEG,Anthotroche_pannosa,Anthotroche,pannosa,,,,,,,
58,EEG,Anthotroche_walcottii,Anthotroche,walcottii,,62,,5,SC,,
59,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
60,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
61,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
62,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
63,RZF,Athenaea_micrantha,Athenaea,micrantha,,24,,,,,
64,RZF,Athenaea_picta,Athenaea,picta,,24,,,,,
65,RZF,Athenaea_picta,Athenaea,picta,,24,P,2,,,
66,EEG,Athenaea_picta,Athenaea,picta,,,,,,,
67,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
68,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
69,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
70,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
71,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
72,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
73,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
74,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
75,RZF,Atropa_acuminata,Atropa,acuminata,,72,,12,,,
76,EEG,Atropa_acuminata,Atropa,acuminata,,,,,,,
77,EEG,Atropa_acuminata,Atropa,acuminata,,,,,,,
78,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
79,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
80,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
81,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
82,RZF,Atropa_baetica,Atropa,baetica,,72,,12,,1,
83,EEG,Atropa_baetica,Atropa,baetica,,,,,,,
84,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
85,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
86,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
87,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
88,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
89,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
90,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
91,RZF,Atropa_belladonna,Atropa,belladonna,,60,P,10,SC,,
92,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
93,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
94,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
95,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
96,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
97,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
98,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
99,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
100,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
101,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
102,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
103,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
104,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
105,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
106,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
107,RZF,Atropa_belladonna,Atropa,belladonna,,108,P,48,SC,,
108,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
109,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
110,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
111,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
112,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
113,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
114,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
115,RZF,Atropa_belladonna,Atropa,belladonna,,72,P,12,SC,,
116,RZF,Atropa_belladonna,Atropa,belladonna,,50,P,,SC,,
117,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
118,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
119,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
120,EEG,Atropa_belladonna,Atropa,belladonna,,,,,,,
121,EEG,Atropa_caucasica,Atropa,caucasica,,,,,,,
122,RZF,Atropa_komarovii,Atropa,komarovii,,74,,6,SC,1,
123,EEG,Atropa_komarovii,Atropa,komarovii,,74,,,,,
124,RZF,Atropanthe_sinensis,Atropanthe,sinensis,,48,P,8,SC,,
125,RZF,Atropanthe_sinensis,Atropanthe,sinensis,,48,P,8,SC,,
126,RZF,Atropanthe_sinensis,Atropanthe,sinensis,,48,P,8,SC,,
127,EEG,Atropanthe_sinensis,Atropanthe,sinensis,,,,,,,
128,EEG,Atropanthe_sinensis,Atropanthe,sinensis,,,,,,,
129,EEG,Aureliana_angustifolia,Aureliana,angustifolia,,,,,,,
130,EEG,Aureliana_darcyi,Aureliana,darcyi,,,,,,,
131,EEG,Aureliana_sellowiana,Aureliana,sellowiana,,24,,,,,
132,EEG,Benthamiella_nordenskjoldii,Benthamiella,nordenskjoldii,,,P,,SI,,
133,RZF,Benthamiella_pycnophylloides,Benthamiella,pycnophylloides,,22,,2,,,
134,EEG,Benthamiella_pycnophylloides,Benthamiella,pycnophylloides,,,,,,,
135,RZF,Bouchetia_anomala,Bouchetia,anomala,,16,P,2,,,
136,RZF,Bouchetia_anomala,Bouchetia,anomala,,16,P,2,,,
137,EEG,Bouchetia_anomala,Bouchetia,anomala,,,,,,,
138,EEG,Bouchetia_anomala,Bouchetia,anomala,,,,,,,
139,RZF,Bouchetia_erecta,Bouchetia,erecta,,16,P,2,,1,
140,RZF,Bouchetia_erecta,Bouchetia,erecta,,16,P,2,,1,
141,EEG,Bouchetia_erecta,Bouchetia,erecta,,,,,,,
142,RZF,Brachistus_lasiophyllus,Brachistus,lasiophyllus,,24,P,3,SC,1,
143,RZF,Brachistus_lasiophyllus,Brachistus,lasiophyllus,,48,P,6,SC,1,
144,EEG,Brachistus_stramoniifolius,Brachistus,stramoniifolius,,,,,SC,,
145,EEG,Brachistus_stramoniifolius,Brachistus,stramoniifolius,,,,,,,
146,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
147,RZF,Browallia_americana,Browallia,americana,,20,A,2,SC,,
148,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
149,RZF,Browallia_americana,Browallia,americana,,44,A,4,SC,,
150,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
151,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
152,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
153,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
154,RZF,Browallia_americana,Browallia,americana,,20,A,2,SC,,
155,RZF,Browallia_americana,Browallia,americana,,20,A,2,SC,,
156,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
157,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
158,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
159,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
160,RZF,Browallia_americana,Browallia,americana,,44,A,4,SC,,
161,RZF,Browallia_americana,Browallia,americana,,20,A,2,SC,,
162,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
163,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
164,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
165,RZF,Browallia_americana,Browallia,americana,,44,A,4,SC,,
166,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
167,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
168,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
169,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
170,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
171,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
172,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
173,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
174,RZF,Browallia_americana,Browallia,americana,,22,A,2,SC,,
175,EEG,Browallia_americana,Browallia,americana,,,,,,,
176,EEG,Browallia_americana,Browallia,americana,,,,,,,
177,EEG,Browallia_americana,Browallia,americana,,,,,,,
178,EEG,Browallia_americana,Browallia,americana,,,,,,,
179,EEG,Browallia_americana,Browallia,americana,,,,,,,
180,EEG,Browallia_demissa,Browallia,demissa,,22,A,2,,,
181,EEG,Browallia_elata,Browallia,elata,,20,A,2,,,
182,EEG,Browallia_grandiflora,Browallia,grandiflora,,22,A,2,,,
183,RZF,Browallia_speciosa,Browallia,speciosa,,44,,4,,1,
184,RZF,Browallia_speciosa,Browallia,speciosa,,44,,4,,1,
185,RZF,Browallia_speciosa,Browallia,speciosa,,44,,4,,1,
186,RZF,Browallia_speciosa,Browallia,speciosa,,44,,4,,1,
187,EEG,Browallia_viscosa,Browallia,viscosa,,22,,2,,,
188,RZF,Brugmansia_arborea,Brugmansia,arborea,,24,,2,,1,
189,RZF,Brugmansia_arborea,Brugmansia,arborea,,24,,2,,1,
190,RZF,Brugmansia_arborea,Brugmansia,arborea,,24,,2,,1,
191,RZF,Brugmansia_arborea,Brugmansia,arborea,,24,,2,,1,
192,RZF,Brugmansia_arborea,Brugmansia,arborea,,24,,2,,1,
193,RZF,Brugmansia_arborea,Brugmansia,arborea,,24,,2,,1,
194,RZF,Brugmansia_arborea,Brugmansia,arborea,,24,,2,,1,
195,EEG,Brugmansia_aurea,Brugmansia,aurea,,24,P,2,SI,,
196,EEG,Brugmansia_aurea,Brugmansia,aurea,,,,,,,
197,RZF,Brugmansia_pittieri,Brugmansia,pittieri,,24,P,2,SI,,
198,RZF,Brugmansia_sanguinea,Brugmansia,sanguinea,,24,P,2,SI,,
199,RZF,Brugmansia_sanguinea,Brugmansia,sanguinea,,24,P,2,SI,,
200,RZF,Brugmansia_sanguinea,Brugmansia,sanguinea,,24,P,2,SI,,
201,RZF,Brugmansia_sanguinea,Brugmansia,sanguinea,,24,P,2,SI,,
202,RZF,Brugmansia_sanguinea,Brugmansia,sanguinea,,24,P,2,SI,,
203,EEG,Brugmansia_sanguinea,Brugmansia,sanguinea,,,,,,,
204,EEG,Brugmansia_sanguinea,Brugmansia,sanguinea,,,,,,,
205,EEG,Brugmansia_sanguinea,Brugmansia,sanguinea,,,,,,,
206,EEG,Brugmansia_sanguinea,Brugmansia,sanguinea,,,,,,,
207,RZF,Brugmansia_suaveolens,Brugmansia,suaveolens,,24,P,2,SI,,
208,RZF,Brugmansia_suaveolens,Brugmansia,suaveolens,,24,P,2,SI,,
209,RZF,Brugmansia_suaveolens,Brugmansia,suaveolens,,24,P,2,SI,,
210,RZF,Brugmansia_suaveolens,Brugmansia,suaveolens,,24,P,2,SI,,
211,RZF,Brugmansia_suaveolens,Brugmansia,suaveolens,,24,P,2,SI,,
212,EEG,Brugmansia_suaveolens,Brugmansia,suaveolens,,,,,,,
213,EEG,Brugmansia_suaveolens,Brugmansia,suaveolens,,,,,,,
214,EEG,Brugmansia_suaveolens,Brugmansia,suaveolens,,,,,,,
215,EEG,Brugmansia_suaveolens,Brugmansia,suaveolens,,,,,,,
216,RZF,Brugmansia_versicolor,Brugmansia,versicolor,,24,P,2,SI,,
217,EEG,Brugmansia_versicolor,Brugmansia,versicolor,,,,,,,
218,EEG,Brugmansia_versicolor,Brugmansia,versicolor,,,,,,,
219,EEG,Brunfelsia_amazonica,Brunfelsia,amazonica,,,,,,,
220,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
221,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
222,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
223,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
224,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
225,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
226,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
227,RZF,Brunfelsia_americana,Brunfelsia,americana,,22,P,2,SI,,
228,EEG,Brunfelsia_americana,Brunfelsia,americana,,,,,,,
229,EEG,Brunfelsia_americana,Brunfelsia,americana,,,,,,,
230,EEG,Brunfelsia_americana,Brunfelsia,americana,,,,,SI,,
231,RZF,Brunfelsia_australis,Brunfelsia,australis,,24,,2,,,
232,RZF,Brunfelsia_australis,Brunfelsia,australis,,24,,2,,,
233,RZF,Brunfelsia_australis,Brunfelsia,australis,,24,,2,,,
234,EEG,Brunfelsia_australis,Brunfelsia,australis,,,,,,,
235,EEG,Brunfelsia_australis,Brunfelsia,australis,,,,,,,
236,EEG,Brunfelsia_boliviana,Brunfelsia,boliviana,,,,,,,
237,EEG,Brunfelsia_bonodora,Brunfelsia,bonodora,,,,,,,
238,EEG,Brunfelsia_brasiliensis,Brunfelsia,brasiliensis,,,,,,,
239,EEG,Brunfelsia_brasiliensis,Brunfelsia,brasiliensis,,,,,,,
240,EEG,Brunfelsia_brasiliensis,Brunfelsia,brasiliensis,,,,,,,
241,EEG,Brunfelsia_burchellii,Brunfelsia,burchellii,,,,,,,
242,EEG,Brunfelsia_chiricaspi,Brunfelsia,chiricaspi,,,,,,,
243,EEG,Brunfelsia_chocoensis,Brunfelsia,chocoensis,,,,,,,
244,EEG,Brunfelsia_clandestina,Brunfelsia,clandestina,,,,,,,
245,EEG,Brunfelsia_cuneifolia,Brunfelsia,cuneifolia,,,,,,,
246,EEG,Brunfelsia_densifolia,Brunfelsia,densifolia,,,,,,,
247,RZF,Brunfelsia_dwyeri,Brunfelsia,dwyeri,,22,P,2,SI,,
248,RZF,Brunfelsia_dwyeri,Brunfelsia,dwyeri,,22,P,2,SI,,
249,EEG,Brunfelsia_dwyeri,Brunfelsia,dwyeri,,,,,,,
250,EEG,Brunfelsia_dwyeri,Brunfelsia,dwyeri,,,,,,,
251,EEG,Brunfelsia_dwyeri,Brunfelsia,dwyeri,,,,,,,
252,RZF,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,22,,2,,1,
253,RZF,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,22,,2,,1,
254,RZF,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,22,,2,,1,
255,RZF,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,22,,2,,1,
256,RZF,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,22,,2,,1,
257,RZF,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,22,,2,,1,
258,EEG,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,,,,,,
259,EEG,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,,,,,,
260,EEG,Brunfelsia_grandiflora,Brunfelsia,grandiflora,,,,,,,
261,EEG,Brunfelsia_guianensis,Brunfelsia,guianensis,,,,,,,
262,EEG,Brunfelsia_hydrangeiformis,Brunfelsia,hydrangeiformis,,,,,,,
263,EEG,Brunfelsia_imatacana,Brunfelsia,imatacana,,,,,,,
264,RZF,Brunfelsia_lactea,Brunfelsia,lactea,,22,P,2,,1,
265,EEG,Brunfelsia_lactea,Brunfelsia,lactea,,,,,,,
266,RZF,Brunfelsia_latifolia,Brunfelsia,latifolia,,22,,2,SI,,
267,RZF,Brunfelsia_latifolia,Brunfelsia,latifolia,,22,,2,SI,,
268,RZF,Brunfelsia_latifolia,Brunfelsia,latifolia,,22,,2,SI,,
269,EEG,Brunfelsia_latifolia,Brunfelsia,latifolia,,,,,,,
270,EEG,Brunfelsia_latifolia,Brunfelsia,latifolia,,,,,,,
271,EEG,Brunfelsia_macrocarpa,Brunfelsia,macrocarpa,,,,,,,
272,EEG,Brunfelsia_martiana,Brunfelsia,martiana,,,,,,,
273,EEG,Brunfelsia_mire,Brunfelsia,mire,,,,,,,
274,RZF,Brunfelsia_nitida,Brunfelsia,nitida,,22,P,2,,,
275,RZF,Brunfelsia_nitida,Brunfelsia,nitida,,22,P,2,,,
276,EEG,Brunfelsia_nitida,Brunfelsia,nitida,,,,,,,
277,EEG,Brunfelsia_nitida,Brunfelsia,nitida,,,,,,,
278,EEG,Brunfelsia_nitida,Brunfelsia,nitida,,,,,,,
279,EEG,Brunfelsia_obovata,Brunfelsia,obovata,,,,,,,
280,EEG,Brunfelsia_obovata,Brunfelsia,obovata,,,,,,,
281,EEG,Brunfelsia_obovata,Brunfelsia,obovata,,,,,,,
282,RZF,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,22,,2,SI,,
283,RZF,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,22,,2,SI,,
284,RZF,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,22,,2,SI,,
285,RZF,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,22,,2,SI,,
286,RZF,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,22,,2,SI,,
287,RZF,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,22,,2,SI,,
288,EEG,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,,,,,,
289,EEG,Brunfelsia_pauciflora,Brunfelsia,pauciflora,,,,,,,
290,EEG,Brunfelsia_pilosa,Brunfelsia,pilosa,,,,,,,
291,EEG,Brunfelsia_plowmaniana,Brunfelsia,plowmaniana,,,,,,,
292,EEG,Brunfelsia_rupestris,Brunfelsia,rupestris,,,,,,,
293,RZF,Brunfelsia_undulata,Brunfelsia,undulata,,22,P,2,SI,1,
294,EEG,Brunfelsia_undulata,Brunfelsia,undulata,,,,,,,
295,EEG,Brunfelsia_uniflora,Brunfelsia,uniflora,,,,,,,
296,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
297,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
298,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
299,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
300,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
301,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
302,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
303,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
304,RZF,Calibrachoa_calycina,Calibrachoa,calycina,,18,P,2,SI,,
305,EEG,Calibrachoa_calycina,Calibrachoa,calycina,,,,,,,
306,EEG,Calibrachoa_calycina,Calibrachoa,calycina,,,,,,,
307,EEG,Calibrachoa_cordifolia,Calibrachoa,cordifolia,,,,,,,
308,EEG,Calibrachoa_dusenii,Calibrachoa,dusenii,,18,P,2,SI,,
309,EEG,Calibrachoa_dusenii,Calibrachoa,dusenii,,,,,,,
310,RZF,Calibrachoa_eglandulata,Calibrachoa,eglandulata,,18,P,2,SI,,
311,RZF,Calibrachoa_eglandulata,Calibrachoa,eglandulata,,18,P,2,SI,,
312,RZF,Calibrachoa_eglandulata,Calibrachoa,eglandulata,,18,P,2,SI,,
313,EEG,Calibrachoa_eglandulata,Calibrachoa,eglandulata,,,,,,,
314,EEG,Calibrachoa_eglandulata,Calibrachoa,eglandulata,,,,,,,
315,EEG,Calibrachoa_eglandulata,Calibrachoa,eglandulata,,,,,,,
316,RZF,Calibrachoa_elegans,Calibrachoa,elegans,,18,P,2,SI,,
317,RZF,Calibrachoa_elegans,Calibrachoa,elegans,,18,P,2,SI,,
318,RZF,Calibrachoa_elegans,Calibrachoa,elegans,,18,P,2,SI,,
319,EEG,Calibrachoa_elegans,Calibrachoa,elegans,,,,,,,
320,EEG,Calibrachoa_elegans,Calibrachoa,elegans,,,,,,,
321,EEG,Calibrachoa_elegans,Calibrachoa,elegans,,,,,,,
322,EEG,Calibrachoa_ericaefolia,Calibrachoa,ericaefolia,,,,,,,
323,EEG,Calibrachoa_ericaefolia,Calibrachoa,ericaefolia,,18,P,2,SI,,
324,RZF,Calibrachoa_excellens,Calibrachoa,excellens,,18,P,2,SI,,
325,RZF,Calibrachoa_excellens,Calibrachoa,excellens,,18,P,2,SI,,
326,RZF,Calibrachoa_excellens,Calibrachoa,excellens,,18,P,2,SI,,
327,RZF,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,18,P,2,SI,,
328,RZF,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,18,P,2,SI,,
329,RZF,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,18,P,2,SI,,
330,RZF,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,18,P,2,SI,,
331,RZF,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,18,P,2,SI,,
332,EEG,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,,,,,,
333,EEG,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,,,,,,
334,EEG,Calibrachoa_heterophylla,Calibrachoa,heterophylla,,,,,,,
335,RZF,Calibrachoa_linearis,Calibrachoa,linearis,,18,P,2,SI,,
336,RZF,Calibrachoa_linearis,Calibrachoa,linearis,,18,P,2,SI,,
337,RZF,Calibrachoa_linearis,Calibrachoa,linearis,,18,P,2,SI,,
338,RZF,Calibrachoa_linearis,Calibrachoa,linearis,,16,P,2,SI,,
339,EEG,Calibrachoa_linearis,Calibrachoa,linearis,,,,,,,
340,EEG,Calibrachoa_linearis,Calibrachoa,linearis,,,,,,,
341,RZF,Calibrachoa_linoides,Calibrachoa,linoides,,18,P,2,SI,,
342,RZF,Calibrachoa_linoides,Calibrachoa,linoides,,18,P,2,SI,,
343,RZF,Calibrachoa_linoides,Calibrachoa,linoides,,18,P,2,SI,,
344,RZF,Calibrachoa_linoides,Calibrachoa,linoides,,18,P,2,SI,,
345,EEG,Calibrachoa_linoides,Calibrachoa,linoides,,,,,,,
346,EEG,Calibrachoa_linoides,Calibrachoa,linoides,,,,,,,
347,RZF,Calibrachoa_macrodactylon,Calibrachoa,macrodactylon,,18,P,2,SI,,
348,RZF,Calibrachoa_macrodactylon,Calibrachoa,macrodactylon,,18,P,2,SI,,
349,EEG,Calibrachoa_macrodactylon,Calibrachoa,macrodactylon,,,,,,,
350,EEG,Calibrachoa_macrodactylon,Calibrachoa,macrodactylon,,,,,,,
351,RZF,Calibrachoa_micrantha,Calibrachoa,micrantha,,18,P,2,SI,,
352,RZF,Calibrachoa_micrantha,Calibrachoa,micrantha,,18,P,2,SI,,
353,RZF,Calibrachoa_micrantha,Calibrachoa,micrantha,,18,P,2,SI,,
354,RZF,Calibrachoa_micrantha,Calibrachoa,micrantha,,18,P,2,SI,,
355,EEG,Calibrachoa_micrantha,Calibrachoa,micrantha,,,,,,,
356,EEG,Calibrachoa_micrantha,Calibrachoa,micrantha,,,,,,,
357,EEG,Calibrachoa_missionica,Calibrachoa,missionica,,,,,,,
358,RZF,Calibrachoa_paranensis,Calibrachoa,paranensis,,18,,2,,1,
359,RZF,Calibrachoa_paranensis,Calibrachoa,paranensis,,18,,2,,1,
