Nolana_inflata	?
Nolana_aticoana	?
Nolana_humifusa	12
Nolana_scaposa	?
Nolana_laxa	?
Nolana_tarapacana	?
Nolana_gayana	?
Nolana_lycioides	?
Nolana_pallida	?
Nolana_confinis	?
Nolana_pilosa	?
Nolana_intonsa	?
Nolana_thinophila	?
Nolana_crassulifolia	?
Nolana_werdermannii	?
Nolana_divaricata	?
Nolana_diffusa	?
Nolana_aplocaryoides	?
Nolana_peruviana	?
Nolana_onoana	?
Nolana_ramosissima	?
Nolana_salsoloides	?
Nolana_sedifolia	?
Nolana_albescens	?
Nolana_mollis	?
Nolana_leptophylla	?
Lycium_tetrandrum	(24 36)
Lycium_acutifolium	12
Lycium_bosciifolium	12
Lycium_hirsutum	12
Lycium_villosum	24
Lycium_eenii	12
Lycium_schweinfurthii	12
Lycium_shawii	12
Lycium_depressum	12
Lycium_europaeum	(12 18)
Lycium_ruthenicum	12
Lycium_dasystemum	?
Lycium_truncatum	?
Lycium_barbarum	(12 18 24)
Lycium_chinense	(12 18 24)
Lycium_yunnanense	?
Lycium_decumbens	12
Lycium_pumilum	12
Lycium_oxycarpum	12
Lycium_pilifolium	12
Lycium_gariepense	12
Lycium_australe	?
Lycium_tenue	12
Lycium_strandveldense	24
Lycium_amoenum	12
Lycium_grandicalyx	12
Lycium_arenicola	36
Lycium_cinereum	(12 24 36)
Lycium_afrum	12
Lycium_ferocissimum	(12 24)
Lycium_horridum	(12 24)
Lycium_schizocalyx	12
Lycium_pallidum	12
Lycium_shockleyi	?
Lycium_cooperi	12
Lycium_macrodon	12
Lycium_puberulum	12
Lycium_californicum	(12 18 24 48)
Lycium_nodosum	12
Lycium_vimineum	12
Lycium_gilliesianum	12
Lycium_chilense	(12 24)
Lycium_ciliatum	(12 24)
Lycium_ameghinoi	12
Lycium_chanar	12
Lycium_deserti	?
Lycium_fuscum	12
Lycium_minutifolium	(12 24)
Lycium_stenophyllum	12
Lycium_cestroides	12
Lycium_cuneatum	12
Lycium_morongii	12
Lycium_brevipes	12
Lycium_carolinianum	12
Lycium_rachidocladum	12
Lycium_tenuispinosum	12
Lycium_elongatum	12
Lycium_americanum	12
Lycium_infaustum	12
Lycium_athium	?
Lycium_minimum	24
Lycium_texanum	?
Lycium_parishii	12
Lycium_torreyi	12
Lycium_andersonii	12
Lycium_berlandieri	(12 18)
Lycium_exsertum	(12 24)
Lycium_fremontii	(48 60)
Exodeconus_miersii	12
Schultesianthus_leucanthus	?
Schultesianthus_megalandrus	?
Solandra_brachycalyx	?
Solandra_grandiflora	(11 12)
Dyssochroma_viridiflora	12
Markea_ulei	?
Juanulloa_mexicana	?
Mandragora_caulescens	24
Mandragora_officinarum	?
Mandragora_turcomanica	?
Nicandra_physalodes	(9 10 11)
Iochroma_cardenasianum	?
Brugmansia_sanguinea	12
Brugmansia_arborea	12
Brugmansia_aurea	12
Datura_discolor	12
Datura_metel	(12 24)
Datura_inoxia	?
Datura_leichhardtii	12
Datura_ferox	12
Datura_quercifolia	12
Datura_stramonium	(12 18 24)
Datura_ceratocaula	12
Nectouxia_formosa	?
Salpichroa_origanifolia	12
Lycianthes_shanesii	12
Lycianthes_lysimachioides	12
Lycianthes_biflora	24
Lycianthes_denticulata	12
Lycianthes_synanthera	?
Lycianthes_pringlei	?
Lycianthes_furcatistellata	?
Lycianthes_multiflora	12
Lycianthes_pauciflora	?
Lycianthes_nitida	?
Lycianthes_jalicensis	12
Lycianthes_lenta	?
Lycianthes_stephanocalyx	?
Lycianthes_tricolor	?
Lycianthes_geminiflora	?
Lycianthes_heteroclita	?
Lycianthes_lycioides	12
Lycianthes_rantonnetii	12
Lycianthes_jelskii	?
Lycianthes_acutifolia	?
Lycianthes_inaequilatera	?
Lycianthes_amatitlanensis	?
Lycianthes_radiata	?
Lycianthes_asarifolia	12
Lycianthes_acapulcensis	12
Lycianthes_ciliolata	12
Lycianthes_moziniana	12
Lycianthes_rzedowskii	12
Lycianthes_dejecta	12
Lycianthes_peduncularis	12
Capsicum_geminifolium	12
Capsicum_lanceolatum	13
Capsicum_ciliatum	12
Capsicum_rhomboideum	(12 13)
Capsicum_campylopodium	13
Capsicum_pereirae	?
Capsicum_villosum	13
Capsicum_schottianum	13
Capsicum_hunzikerianum	?
Capsicum_recurvatum	13
Capsicum_flexuosum	12
Capsicum_cardenasii	12
Capsicum_eximium	12
Capsicum_ceratocalyx	?
Capsicum_pubescens	12
Capsicum_tovarii	?
Capsicum_chacoense	12
Capsicum_baccatum	12
Capsicum_coccineum	12
Capsicum_annuum	(11 12 18 19 24 48)
Capsicum_chinense	12
Capsicum_frutescens	12
Capsicum_galapagoensis	12
Cuatresia_cuneata	12
Cuatresia_exiguiflora	?
Cuatresia_riparia	?
Nothocestrum_longifolium	24
Withania_coagulans	24
Withania_somnifera	(12 24 36)
Larnax_peruviana	?
Deprea_orinocensis	?
Larnax_parviflora	?
Larnax_suffruticosa	?
Larnax_psilophyta	?
Larnax_purpurea	?
Larnax_nieva	?
Larnax_dilloniana	?
Larnax_hawkesii	?
Deprea_bitteriana	?
Deprea_paneroi	?
Larnax_subtriflora	?
Larnax_sachapapa	?
Larnax_sylvarum	?
Dunalia_solanacea	?
Dunalia_obovata	12
Vassobia_breviflora	12
Iochroma_parvifolium	?
Dunalia_brachyacantha	12
Eriolarynx_lorentzii	12
Iochroma_australe	12
Iochroma_grandiflorum	?
Iochroma_umbellatum	?
Iochroma_gesnerioides	?
Iochroma_calycinum	?
Iochroma_fuchsioides	?
Iochroma_lehmannii	12
Iochroma_confertiflorum	?
Iochroma_ellipticum	?
Acnistus_arborescens	12
Iochroma_cornifolium	?
Iochroma_cyaneum	12
Iochroma_loxense	?
Oryctes_nevadensis	?
Tzeltalia_amphitricha	?
Tzeltalia_calidaria	?
Brachistus_stramoniifolius	?
Witheringia_macrantha	12
Witheringia_meiantha	12
Physalis_alkekengi	(12 24)
Calliphysalis_carpenteri	12
Quincula_lobata	(10 11 12 22)
Chamaesaracha_coronopus	(12 18 24 36)
Chamaesaracha_sordida	(12 18 24 36)
Physalis_campechiana	?
Physalis_melanocystis	12
Physalis_acutifolia	12
Physalis_crassifolia	12
Physalis_philadelphica	12
Physalis_nicandroides	12
Physalis_patula	12
Physalis_peruviana	(12 24 36)
Physalis_angustiphysa	12
Physalis_longifolia	(12 24)
Physalis_greenmanii	?
Physalis_glutinosa	12
Physalis_hederifolia	(12 24)
Physalis_sordida	12
Physalis_cordata	12
Physalis_ignota	12
Physalis_minima	(12 24 36)
Physalis_pruinosa	12
Physalis_lagascae	12
Physalis_angulata	(12 24)
Physalis_pubescens	(12 24)
Physalis_lanceolata	10
Physalis_heterophylla	12
Physalis_virginiana	12
Physalis_arenicola	12
Physalis_angustifolia	?
Physalis_walteri	?
Physalis_pumila	12
Physalis_cinerascens	12
Physalis_mollis	12
Physalis_viscosa	12
Jaltomata_darcyana	12
